Lens ID,Title,Date Published,Publication Year,Publication Type,Author/s,Abstract,Fields of Study,Keywords,Citing Works Count
030-465-898-887-611,Effect of Innovative and Technological Activity of Organizations on the Volume of Production of Innovative Goods and the Growth of Labor Productivity,2020-07-31,2020,journal article,N. I. Komkov; G. K. Kulakin,This paper analyzes and clarifies functions of indicators of innovative activity of organizations: the innovative activity index and the innovative activity level. Estimates are given for the growth of labor productivity and the output of innovative goods produced and works and services performed by organizations that did and did not carry out technological innovations in 2008–2017. The efficiency of applying innovations by organizations with different numbers of employees and different forms of ownership is analyzed. The purpose of this study is to estimate the efficiency of the application of technological innovations in the form of growth in labor productivity and the output of innovative goods.,Volume (computing); Business; Productivity; Carry (investment); Production (economics); Activity index; Industrial organization,,1
030-693-884-361-584,"Technological innovation, financialization, and ecological footprint: evidence from BEM economies",2021-01-07,2021,journal article,Mehmet Akif Destek; Müge Manga,"Despite the growing interest in researches on the impact of technological development on carbon emissions, the effect of technological innovation on the other indicators of environmental degradation is of little interest. In order to close this gap, the aim of this study is to determine the effects of technological innovation on both carbon emission and ecological footprint for big emerging markets (BEM) countries. In doing so, the environmental impacts of the financialization process are also explored, in line with the fact that these countries face constraints in financing technological developments. In this context, the effects of technological development, financialization, renewable energy consumption, and non-renewable energy consumption on environmental degradation are examined through the second-generation panel data methods for the period 1995-2016. The findings indicate that technological innovation is effective in reducing carbon emissions, but does not have a significant impact on the ecological footprint, namely a 1% increase in technological innovations reduces carbon emission by 0.082-0.088%. Moreover, it is found that financialization harms environmental quality for both indicators of the environment because a 1% increase in financialization increases carbon emissions by 0.203-0.222% and increases ecological footprint by 0.069-0.071%.",Emerging markets; Economics; Natural resource economics; Environmental degradation; Context (language use); Energy consumption; Financialization; Greenhouse gas; Environmental quality; Ecological footprint,Carbon emission; Ecological footprint; Environmental degradation; Financialization; Panel data; Technological innovation,32
030-740-424-476-62X,"Modeling the Dynamic Linkage between Tourism Development, Technological Innovation, Urbanization and Environmental Quality: Provincial Data Analysis of China",2021-08-10,2021,journal article,Zhang Cheng-hu; Muhammad Arif; Khurram Shehzad; Mahmood Ahmad; Judit Oláh,"This study investigates the linkage between tourism development, technological innovation, urbanization and environmental degradation across 30 provinces of China. Based on data from 2001 to 2018, the study used an advanced economic methodology for the long-run estimate, the Augmented Mean Group (AMG) estimator, which accounts for heterogeneity in slope parameters and dependencies across countries. The empirical results show that tourism development degrades environmental quality, while technological innovation mitigates carbon emissions. Further, findings show that urbanization increases carbon emissions, while an inverted U-shaped relationship exists between economic growth and environmental degradation, implying the existence of EKC in China. Further, the Dumitrescu–Hurlin panel causality test shows that any policy aimed at tourism development or technological innovation would substantially contribute to environmental degradation, but not the other way round.",Economics; Tourism; China; Environmental degradation; Economic geography; Urbanization; Greenhouse gas; Economic methodology; Linkage (mechanical); Environmental quality,CO2 emission; GDP; GDP square; technological innovation; tourism development; urbanization,9
030-801-081-870-09X,Dynamic Object Tracking and Masking for Visual SLAM,2020-07-31,2020,,Jonathan Vincent; Mathieu Labbé; Jean-Samuel Lauzon; Francois Grondin; Pier-Marc Comtois-Rivet; François Michaud,"In dynamic environments, performance of visual SLAM techniques can be impaired by visual features taken from moving objects. One solution is to identify those objects so that their visual features can be removed for localization and mapping. This paper presents a simple and fast pipeline that uses deep neural networks, extended Kalman filters and visual SLAM to improve both localization and mapping in dynamic environments (around 14 fps on a GTX 1080). Results on the dynamic sequences from the TUM dataset using RTAB-Map as visual SLAM suggest that the approach achieves similar localization performance compared to other state-of-the-art methods, while also providing the position of the tracked dynamic objects, a 3D map free of those dynamic objects, better loop closure detection with the whole pipeline able to run on a robot moving at moderate speed.",Position (vector); Masking (art); Artificial intelligence; Kalman filter; Video tracking; Computer vision; Computer science; Pipeline (software); Robot,,3
031-150-787-984-291,"A comprehensive model for determining technological innovation level in supply chains using green investment, eco-friendly design and customer collaborations factors",2022-08-22,2022,journal article,Razieh Beigizadeh; Aidin Delgoshaei; Mohd Khairol Anuar Ariffin; Sepehr Esmaeili Hanjani; Ahad Ali,"<jats:p>Technological innovations play a crucial role in designing an effective green supply chain. However, it is crucial to know the factors influencing technological innovation in a green supply chain. Some preconceptions show that technological innovation in a business can be affected by internal and external factors, and therefore there must be correlations between such factors to flourish the technological innovation and, subsequently, the green supply chain. Besides, predicting the technological innovation level in a supply chain can be vital and direct it to the Industry 5.0 goals. In this research, a 3-phased framework will be proposed to predict the Technological Innovation Level of Green Supply Chains. The scope of this research includes Green Investment, Eco-friendly Design and Customer Collaborations. In the 1st phase of the framework, dependent and independent factors considering the scope of the Research will be determined; and then, using statistical data analysis, the weight of factors, which reflects their impact on technological innovation (dependent factor), will be determined. Then, in the 2nd phase, a comprehensive model will be developed and trained. Using the data of supply chains that were gathered in the first phase, the train and test data would be selected. In continuation, the model will be trained and its performance will be evaluated using some metrics. Then, in the last phase (phase 3), the developed model will be used to predict the technological level of supply chains. The outcomes of this research can help top managers of supply chains to predict the level of technological innovation by investing a certain budget in improving the dependent variables. The outcomes demonstrated that Customer Collaboration (0.481), Eco-friendly design (0.419) and Green Investment (0.41) have significant impacts on technological innovation improvement in the studied cases, respectively. Besides, the results showed the superiority of the K-nearest Neighbor algorithm while using the Minkowski distance method and considering 5 neighbors. The findings indicated that the proposed framework could predict Technological Innovation with 0.751 accuracies. The outcomes of this research can be helpful for industry owners to predict the expected technological innovation level of their system by investing a certain budget in green investment, eco-friendly design and customer collaborations in their enterprises.</jats:p>",Supply chain; Scope (computer science); Investment (military); Business; Phase (matter); Industrial organization; Supply chain management; Marketing,,0
031-217-204-261-600,Evaluating the effects and outcome of technological innovation on a web-based e-learning system,2020-01-01,2020,journal article,Asare Yaw Obeng; Alfred Coleman,"The advancements in technological innovations have had a substantial impact on the Internet infrastructure, Web technology, and the usefulness of e-learning systems. This requires a discrete initia...",The Internet; Web application; Usability; Affordance; Technology acceptance model; E-learning (theory); Technology integration; Risk management; Computer science; Knowledge management,,1
031-388-865-132-52X,Energy technological innovation and carbon emissions mitigation: evidence from China,2021-06-10,2021,journal article,Shuping Cheng; Lingjie Meng; Lu Xing,"<jats:sec><jats:title content-type=""abstract-subheading"">Purpose</jats:title><jats:p>The purpose of this paper is to examine the effects of energy technological innovation on carbon emissions in China from 2001 to 2016.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title><jats:p>Conditional mean (CM) methods are first applied to implement our investigation. Then, considering the tremendous heterogeneity in China, quantile regression is further employed to comprehensively investigate the potential heterogeneous effect between energy technological innovation and carbon emission intensity.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Findings</jats:title><jats:p>The results suggest that renewable energy technological innovation has a significantly positive effect on carbon emission intensity in lower quantile areas and a negative effect in higher quantile areas. Contrarily, fossil energy technological innovation exerts a negative correlation with carbon emission intensity in lower quantile areas and a positive effect on carbon emission intensity in higher quantiles areas.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Originality/value</jats:title><jats:p>Considering that energy consumption is the main source of CO<jats:sub>2</jats:sub> emissions, it is of great importance to study the impact of energy technological innovation on carbon emissions. However, the previous studies mainly focus on the impact of integrated technological innovation on carbon emissions, ignoring the impact of energy technological innovation on carbon emissions mitigation. To fill this gap, we construct an extended STIRPAT model to examine the effects of renewable energy technological innovation and fossil energy technological innovation on carbon emissions in this paper. The results can provide a reference for the government to formulate carbon mitigation policies.</jats:p></jats:sec>",Economics; Natural resource economics; Energy (signal processing); China; Greenhouse gas; Quantile regression,,7
031-456-235-098-955,Is There Any Difference in the Impact of Digital Transformation on the Quantity and Efficiency of Enterprise Technological Innovation? Taking China’s Agricultural Listed Companies as an Example,2021-11-23,2021,journal article,Haihua Liu; Peng Wang; Zejun Li,"The effect of digital transformation on enterprise technological innovation is reflected in quantity and quality, which may show heterogeneity. In this regard, this paper uses the data of China’s A-share agricultural listed companies from 2015 to 2020 to compare the differential impact of enterprise digital transformation from the perspective of quantity and quality of technological innovation. Firstly, the Tobit model is used to test whether there are differences in the impact of digital transformation on the quantity and quality of technological innovation of agricultural enterprises, and heterogeneity is tested according to the nature of enterprises. Secondly, this paper explores the reasons digital transformation has different effects on the quantity and quality of technological innovation through mechanism analysis. Finally, according to the threshold model, the conditions for digital transformation to promote the quantity and quality of technological innovation of agricultural enterprises are discussed. The empirical results show that, first, the digital transformation of agricultural enterprises only promotes the number of technological innovations, and there is heterogeneity in the nature of enterprises, but the innovation efficiency is not affected. Second, the period expense rate will lead to digital transformation, having different effects on the quantity and efficiency of technological innovation of agricultural enterprises. Third, the impact of digital transformation on the technological innovation efficiency of agricultural enterprises has a significant single threshold effect, and when the period expense rate is less than the threshold, the digital transformation has a significant role in promotion.",Agriculture; Digital transformation; Business; Tobit model; China; Threshold model; Quality (business); Differential impact; Industrial organization; Promotion (rank),,4
031-471-319-396-592,How Does Institutional Change of Democratization Affect the Origin and Diffusion of Technological Innovation Across Countries,2020-07-14,2020,,Mario Coccia,"The main aim of this study is to explain how institutional change, based on processes of democratization, governs the origin and diffusion of technological innovation across economies. This study suggests that institutional change, based on a progressive democratization of countries, is a driving force of inventions and adoption of usable innovations in society. Policy makers, considering the positive associations between institutional change, based on a process of democratization, and paths of technological innovation, can propose best practices directed to support a higher economic freedom in society, effective regulation, higher economic and political stability, good economic governance and higher level of education system. Overall, then, institutional change, based on democratization, is a precondition for sustaining fruitful paths of technological innovation to govern the development of economies in the presence of globalization and geographical expansion in world economic system.",Emerging markets; Technological change; Economics; Democratization; Social change; Globalization; Economic freedom; Rule of law; Democracy; Economic system,,0
031-473-999-968-898,Microfabricated Neuroaccelerometer: Integrating Sensing and Reservoir Computing in MEMS,,2020,journal article,Bruno Barazani; Guillaume Dion; Jean-Francois Morissette; Louis Beaudoin; Julien Sylvestre,"This study presents the design, fabrication, and test of a micro accelerometer with intrinsic processing capabilities, that integrates the functions of sensing and computing in the same MEMS. The device consists of an inertial mass electrostatically coupled to an oscillating beam through a gap of 8 $\mu \text{m}$ . The motion of the inertial mass modulates an AC electrostatic field that drives the beam in its non-linear regime. This non-linearity is used to implement machine learning in the mechanical domain, using reservoir computing with delayed feedback to process the acceleration information provided by the inertial mass. The device is microfabricated on a silicon-on-insulator substrate using conventional MEMS processes. Dynamic characterization showed good accelerometer functionalities, with an inertial mass sensitivity on the order of 100 mV/g from 250 to 1300 Hz and a natural frequency of 1.7 kHz. In order to test the device computing capabilities, two different machine learning benchmarks were implemented, with the inputs fed to the device as accelerations. The neuromorphic MEMS accelerometer was able to accurately emulate non-linear autoregressive moving average models and compute the parity of random bit streams. These results were obtained in a test system with a non-trivial transfer function, showing a robustness that is well-suited to anticipated applications. [2019-0238]",Acceleration; Reservoir computing; Neuromorphic engineering; Sensitivity (control systems); Electronic engineering; Microelectromechanical systems; Computer science; Transfer function; Accelerometer; Robustness (computer science),,13
031-753-698-678-72X,Impact of Technological Innovation and Industrial-Structure Upgrades on Ecological Efficiency in China in Terms of Spatial Spillover and the Threshold Effect.,2021-02-12,2021,journal article,Meng Huang; Rijia Ding; Chunhua Xin,"In the past 40 years, China's rapid industrialization has resulted in remarkable social progress and regional economic prosperity but also has caused problems, such as excessive resource consumption and environmental pollution. Ecological efficiency is an important indicator of whether economic efficiency and environmental efficiency are balanced. Exploring ecological efficiency is vital for achieving sustainable development, as technological innovation, industrial structure upgrading, and ecological efficiency are probably related. However, there has been little research on the relationships among them. In this study, we used the super-efficiency slacks-based model (SBM) involving undesirable output to calculate the ecological efficiency of 30 provinces in China from 2008 to 2017. We found that China's ecological efficiency has risen, fallen, then fluctuated, and that there were significant spatial differences. Then, we used 3 spatial econometric models for comparative analysis, which revealed that the independent effects of technological innovation on ecological efficiency was significant and negative; however, technological innovation demonstrated a strong positive effect in tandem with industrial structure upgrading, and industrial structure always had a positive effect on ecological efficiency. On this basis, we added the cross-item of technological innovation, and industrial-structure upgrades had a significant and positive impact on ecological efficiency, which was significantly greater than the independent effect of technological innovation and industrial-structure upgrades. To explore the mechanism of industrial-structure upgrading and technological innovation on regional ecological efficiency, we set the first 2 as threshold variables. We found that there is in fact a threshold effect of technological innovation and industrial-structure upgrading on ecological efficiency due to the mismatch of periods. These results provide a theoretical rationale for China to formulate strategies to improve ecological efficiency. Integr Environ Assess Manag 2021;17:852-865. © 2020 SETAC.",Economic efficiency; Economics; Natural resource economics; Econometric model; Prosperity; Environmental pollution; Industrialisation; Sustainable development; Ecological efficiency; Spatial econometrics,Ecological efficiency; Industrial-structure upgrades; Spatial econometrics; Technological innovation; Threshold effects,11
031-881-195-852-972,Understanding Proximity in Research Consortia : A case study of proximity dimensions within the AddLife Competence Centre,,2020,,Loris Cannataro,"Today’s knowledge creation process has become extremely complex. On the one hand, technological innovation increasingly requires the use of complementary expertise from several apparently unrelated ...",Competence (human resources); Business; Knowledge creation; Process (engineering); Knowledge management,,0
032-181-430-179-132,Public Finance Policy and Technological Innovation in China,2021-06-21,2021,journal article,Yaling Li; Yuting Li; Rui Liu,"Technological innovation is the core power to promote economic growth, and public financial policy plays an important role in stimulating enterprises to carry out technological innovation. The new technological revolution has not only provided opportunities but also posed serious challenges to developing countries. We must adapt to the development trend of the new technological revolution, change the traditional model of economic development, formulate new development strategies, improve existing public policies, constantly raise the level of science and technology, and embark on the road of making China a technologybased country. By analyzing the relationship between technological innovation and public financial policy, this paper draws out the shortcomings of China’s existing fiscal policy in promoting technological innovation, and makes a comparative analysis of the fiscal policy of the United States and draws on its experience, so as to get the technical innovation suggestions under China’s public financial policy.",Public policy; Business; Public finance; China; Power (social and political); Carry (investment); Technological revolution; Fiscal policy; Economic system; Developing country,,0
032-214-541-285-294,The Fit Between Value Proposition Innovation and Technological Innovation in the Digital Environment: Implications for the Performance of Startups,,2021,journal article,Hai Guo; Jun Yang; Jiaping Han,"In recent years, an emerging stream of research suggests that firms should use technological innovation and business model innovation harmoniously to maximize firm performance. In order to enrich the scholarly conversation on the fit between technological innovation and business model innovation, drawing insights from the dynamic capabilities perspective, this paper examines the fit between value proposition innovation and technological innovation (exploitative versus explorative) for the performance of startups in the digital environment. Based on on-site survey data of 285 digital startups in one of the world's largest digital economies, we find that explorative innovation strengthens the positive impact of value proposition innovation on the performance of startups, whereas exploitative innovation weakens this positive effect. Furthermore, these moderating effects are magnified in a highly uncertain demand environment. These findings inject fresh insights into existing scholarly conversation on the fit between technological innovation and business model innovation by offering a dynamic capabilities perspective and by extending it to an increasingly digital business environment.",Business; Order (exchange); Survey data collection; Conversation; Dynamic capabilities; Business model innovation; Digital business; Industrial organization; Value proposition,,4
032-347-324-579-789,Regenerative medicine approaches for the management of respiratory tract fistulas,2020-10-23,2020,journal article,Angelo Trivisonno; Dania Nachira; Ivo Boškoski; Venanzio Porziella; Giuliana Di Rocco; Silvia Baldari; Gabriele Toietta,"Respiratory tract fistulas (or fistulae) are abnormal communications between the respiratory system and the digestive tract or the adjacent organs. The origin can be congenital or, more frequently, iatrogenic and the clinical presentation is heterogeneous. Respiratory tract fistulas can lead to severely reduced health-related quality of life and short survival. Therapy mainly relies on endoscopic surgical interventions but patients often require prolonged hospitalization and may develop complications. Therefore, more conservative regenerative medicine approaches, mainly based on lipotransfer, have also been investigated. Adipose tissue can be delivered either as unprocessed tissue, or after enzymatic treatment to derive the cellular stromal vascular fraction. In the current narrative review, we provide an overview of the main tissue/cell-based clinical studies for the management of various types of respiratory tract fistulas or injuries. Clinical experience is limited, as most of the studies were performed on a small number of patients. Albeit a conclusive proof of efficacy cannot be drawn, the reviewed studies suggest that grafting of adipose tissue-derived material may represent a minimally invasive and conservative treatment option, alternative to more aggressive surgical procedures. Knowledge on safety and tolerability acquired in prior studies can lead to the design of future, larger trials that may exploit innovative procedures for tissue processing to further improve the clinical outcome.",Regenerative medicine; Adipose tissue; Intensive care medicine; Fistula; Tracheoesophageal fistula; Tolerability; Respiratory tract; Stromal vascular fraction; Respiratory Tract Fistula; Medicine,Adipose tissue; Airway defects restoration; Fistula; Head and neck; Lipotransfer; Mesenchymal stromal cells; Minimally invasive treatments; Regenerative medicine; Respiratory tract; Tracheoesophageal fistula,6
032-365-611-523-277,Research on the Evaluation of Forestry Industry Technological Innovation Ability Based on Entropy TOPSIS Method,2021-12-16,2021,book chapter,Shangkun Lu,"Forestry is an important part of our national economy. In order to improve the technological innovation capability of the forestry industry, based on relevant research, a four-dimensional forestry industry technological innovation capability index system has been established, including the forestry industry technological innovation resource utilization capability, the forestry industry market innovation capability, the forestry technological innovation support capability and the forestry industry management Creativity. Through the entropy method and TOPSIS method, the forestry industry of 29 provinces in my country was evaluated statically and dynamically. The results show that Guangdong, Sichuan, and Zhejiang have the relatively high static capacity for forestry industry technology innovation; the contribution of the growth rate of total forestry output value, timber sales in state-owned forest areas, the number of college graduates, and the number of school faculty and staff to the forestry industry’s technological innovation capacity Relatively weak, it cannot be a major factor in increasing the overall growth rate of the forestry industry.",Forestry; TOPSIS; Business; Forest industry; Community forestry; Industrial organization,,0
032-519-329-483-40X,Enabling technological innovation in healthcare: A knowledge creation model perspective,2021-05-17,2021,conference proceedings article,Piera Centobelli; Roberto Cerchione; Emilio Esposito; Emanuela Riccio,"The effect of technological innovation on healthcare sector is becoming increasingly significant and the number of studies exploring this phenomenon is rising rapidly. However, systematizing existing studies on the digital transition of healthcare services is still a problem, both from a theoretical and managerial point of view. The knowledge management discipline can provide guidance in this environment to cover this research gap. Indeed, digital transition is transforming, in particular, the way healthcare professionals access data, handle information and manage knowledge through the adoption of 4.0 enabling technologies. Thus, drawing on the SECI model this study aims to critically analyze the current literature on the technological innovation of healthcare sector in terms of knowledge creation processes (i.e., socialization, externalization, combination, internalization). To achieve this objective, the paper conducts a literature review to analyze the impact of 4.0 technologies on knowledge management in healthcare. The authors investigate the role of key enabling technologies and their impact to support KM processes, as well as critical areas and future research directions that remain to be addressed.",Business; Health care; Key (cryptography); Perspective (graphical); Externalization; Socialization (Marxism); Knowledge creation; Digital transition; Phenomenon; Knowledge management,,2
032-771-688-123-793,Technological Innovation research—a structural equation modelling approach,,2021,journal article,,"<jats:p>The paper explores the relationship among technological innovation, technological trajectory transition, and firms’ innovation performance. Technological innovation is studied from the perspectives of innovation novelty and innovation openness. Technological trajectory transition is categorized into creative cumulative technological trajectory transition and creative disruptive technological trajectory transition. A structural equation model is developed and tested with data collected by surveying 366 Chinese firms. The results indicate that both innovation novelty and innovation openness positively affects creative cumulative technological trajectory transition as well as creative disruptive technological trajectory transition. Innovation openness and creative disruptive technological trajectory transition both positively affect firms’ innovation performance. However, neither innovation novelty nor creative cumulative technological trajectory transition positively affects firms’ innovation performance. Implications for managers and directions for future studies are discussed.</jats:p>",Openness to experience; Novelty; Technological change; Trajectory; Transition (genetics); Structural equation modeling; Industrial organization; Business; Economic geography; Marketing,,0
032-775-210-912-935,CREATE a CUSTOMER LOYALTY In TRAVEL SECTOR,2020-11-16,2020,journal article,Siti Maemunah,"Research related to loyal customers in the travel industry. The travel industry adopts strategic e-marketing, technological innovation, trust and value to customers. Customers feel satisfied, thus creating customer loyalty. The methodology for this writing was to distribute questionnaires to 240 travel decision makers (managers / directors / owners). The data were analyzed through the SEM research hypothesis using SPSS / AMOS applied to the relationship and hypothesis testing. The results showed that strategic e-marketing, technological innovation, trust and value on customers had a direct and significant positive effect on satisfaction. Customer satisfaction has a direct and significant positive effect on customer loyalty. The implication of writing helps marketing managers to encourage customer satisfaction by fostering trust and value, creating customer loyalty in the travel sector. This novelty research provides new insights in the development of e-marketing strategies and technological innovation has been recognized as a developing concept that has received intense attention from both literature reviews and practitioners. In addition, further empirical research is still needed to investigate all-digital marketing insights around the world. To enrich the theoretical point of view of the proposed model, further research can carry out a comparative study between industry and developing countries.",Empirical research; Business; Loyalty business model; Marketing; Tourism; Customer satisfaction; Value (economics); Loyalty; Novelty; Developing country,,0
032-881-341-020-899,Knowledge transfer in technological innovation clusters,2021-06-30,2021,journal article,Vania Lopes Simoes Fioravanti; Fabricio Stocker; Flavio Romero Macau,"The aim of this research is to analyze the knowledge transfer process in technological innovation clusters. The problem of the study addresses how organizations can act in a network to enhance experiences and gains, particularly in the aspect of knowledge management.,The study is qualitative, applied through a case study, cross-sectional and multiple sources of evidence – semistructured interviews, nonparticipant observation and analysis of documents and secondary institutional data. The case analyzed was the Technology Park of Sao Jose dos Campos, in Brazil, involving private companies, governmental organizations, universities and research institutions.,The results reinforce the arguments that the transfer of knowledge is influenced by factors, facilitators or inhibitors such as: cooperation, relationship with institutions, workforce mobility and geographical proximity, influencing the competitiveness and performance of the organizations in the cluster.,This study advances the knowledge management literature in network environments, especially in technological innovation clusters, systematizing and highlighting the facilitating and inhibiting dimensions of knowledge transfer.,The present work has a direct dialogue with the managers and actors involved in the governance of these organizational arrangements with regard to increasing the capacity for creation and the dissemination of knowledge among organizations, educational institutions, government and companies.,There is a presence of aspects indicating that knowledge goes beyond borders through dynamic and collaborative structures, reinforcing the premise that clusters must be perceived as an evolutionary system, whose result of interactions leads to a superior joint capacity.",Cluster (physics); Business; Government; Work (electrical); Knowledge transfer; Premise; Workforce; Corporate governance; Process (engineering); Knowledge management,,4
032-998-520-869-731,دور مستحدثات تکنولوجيا التعليم فى العملية التعليمية التعلمية بمدارس المرحلة الثانوية فى محافظة الفروانية بدولة الکويت,2021-01-01,2021,journal article,فهد عوض العنزي,"هدفت الدراسة الى توضيح أهمية المستحدثات التکنولوجية وکيف يمکن الاستفادة منها فى العملية التعليمية لمعلمى المرحلة الثانوية بمحافظة الفروانية بدولة الکويت، واستخدمت الدراسة المنهج الوصفى التحليلي، وتم تطبيقها على عينة من المعلمين العاملين بمدارس المرحلة الثانوية وتوصلت الى ان عناصر المنظومة التعليمية تواجه العديد من التحديات فى ظل الثورة الهائلة التى تحدثت فى مجال مستحدثات التکنولوجيا، وأن المستحدثات التکنولوجية هى تقنيات المعلومات والاتصالات المطورة وکل ما هو جديد فى الأجهزة والوسائل والتطبيقات وأساليب التدريس التقنية والتى يمکن الاستفادة منها لتحقيق الأهداف التعليمية بکفاءة وفاعلية، أن المستحدثات التکنولوجية فى العملية التعليمية لابد ان تتم وفق أسس وخطوات مدروسة، تبدأ بالوعى بأهمية هذه المستحدثات، وتنتهى بدمجها بکل مکون من مکونات العملية التعليمية، کذلک المستحدثات التکنولوجية يمکن تصنيفها الى (أجهزة مستخدمة، استراتيجيات تعليمية، تطبيقات تقنية وبيئات تعلم صفية وافتراضية) وأن توظيف المستحدثات التکنولوجية فى العملية التعليميةک( الايباد- البارکود- الروبوت التعليميى، .....) له العديد من الفوائد والمزايا التى تؤثر على الطالب بشکل ايجابي.; Abstract:; The study aimed to clarify the importance of technological innovations and how they can be used in the educational process for secondary school teachers in Farwaniya Governorate, Kuwait. The tremendous revolution that took place in the field of technology innovations, And that technological innovations are developed information and communication technologies and everything new in devices, means, applications and technical teaching methods that can be used to achieve educational goals efficiently and effectively, that technological innovations in the educational process must be carried out according to the foundations and deliberate steps, starting with awareness of the importance of these innovations, and ending By being integrated into every component of the educational process, technological innovations can also be classified into((Used devices, educational strategies, technical applications and classroom and virtual learning environments) and that employing technological innovations in your educational process (iPad - barcode - educational robot, .....) has many benefits and advantages that affect the student positively.",Sociology; Pedagogy; School teachers,,0
033-073-905-560-745,The Analysis of the Cultivation Path of College Students' Scientific and Technological Innovation Ability from the Perspective of New Engineering,2021-07-06,2021,,Liu Fangfang,"In the context of the continuous improvement of my country's modern education level and the deepening of education reforms, the importance of the college of engineering to the cultivation of applied talents has gradually been recognized by people. However, in the process of actually cultivating talents of college students in engineering colleges, due to the influence of various factors, the satisfactory results have not been achieved. Therefore, the traditional education methods must be reformed. This article analyzed in detail the effective ways of cultivating the scientific and technological innovation ability of Chinese college students under the new engineering perspective, and laid a solid foundation for the further improvement of the professional ability and professional quality of innovative applied talents in my country.",Engineering; Perspective (graphical); Traditional education; Quality (business); Context (language use); Process (engineering); Engineering education; Engineering ethics,,0
033-170-015-226-82X,Organizational Culture for Cooperation in Technological Innovation Between Research Institutes and Firms,,2020,journal article,Sonia Regina Hierro Parolin; Leandro-Rodrigo Canto Bonfim; Andréa Paula Segatto; Tatiane Espindola,"This article aims to construct and validate an instrument for measuring the factors of organizational culture that influence cooperation in technological innovation between research institutes and firms, nominated “Evaluation of Organizational Culture for Cooperation in Technological Innovation (EOC-CTI)”, applied to the reality of Brazilian organizations. The sample was composed of 324 respondents from 58 large and medium firms and 41 public and private research institutes, from various locations in Brazil. The method adopted was the Exploratory Factor Analysis. Among the main contributions, an instrument that expands the discussions about the values and management practices for cooperation in technological innovation based on organizational culture is proposed. For firms and research institutes, there is the proposition of values and systematic management practices that contribute to the achievement of results through cooperation in technological innovation.",Business; Exploratory factor analysis; Construct (philosophy); Management practices; Sample (statistics); Knowledge management; Organizational culture,,0
033-247-457-009-649,"Do technological innovation, financial development, and economic freedom limit energy demand The analysis of ASEAN+3",2021-11-15,2021,conference proceedings article,Ala' Fathi; Aliya Zhakanova Isiksal,"The study investigates the effect of the five selected variables on fossil fuel energy demand in the ASEAN+3 group during 1998–2018. The P.M.G.-ARDL approach was applied. The results revealed that financial development, growth, and environmental pollution significantly increase energy consumption. While technological innovation reduce it. While the result of economic freedom has been neglected. Moreover, there is a one-way causality extending from financial development, economic freedom, environmental pollution, and technological innovation to energy consumption except for the expansion of the economy which has a bidirectional causal relationship. This study recommends promoting the encouragement of green investment and environmentally friendly policies to control the sustainability of the economy and the environment.",Energy consumption; Investment (military); Sustainability; Economics; Environmental pollution; Causality (physics); Kuznets curve; Consumption (sociology); Natural resource economics; Fossil fuel; Sustainable development; Economic system; Environmental economics; Business,,0
033-347-565-360-151,"Technological Innovation, Firm Performance, and Institutional Context: A Meta-Analysis",,2022,journal article,Cherry Singhal; Raj V. Mahto; Sascha Kraus,"Technological innovation, a complex and multidimensional construct, refers to innovations associated with an organization's operations, such as the introduction of new/improved products or processes. Scholars and practitioners recognize the importance of technological innovation in a firm's ability to obtain a sustainable competitive advantage. However, the empirical findings on the overarching relationship between technological innovation and firm performance remain inconclusive. Thus, in this article, we attempt to reconcile the mixed empirical results on the relationship by employing a multivariate meta-analytic methodology. We find that technological innovation has a significant and positive impact on a firm's performance. Furthermore, we find empirical support for the moderating influence of cross-cultural and institutional differences on the relationship. We observed a better performance outcome for innovation occurring in nations with a lower propensity to avoid uncertainty and collectivistic attitudes. In contrast, performance suffers when technological innovation occurs in nations that have stronger patent protection.",Empirical research; Outcome (game theory); Economics; Construct (philosophy); Context (language use); Patent system; Industrial organization; Competitive advantage; Meta-analysis; Collectivism,,6
033-356-886-707-333,“Ten Major Relations” to Be Addressed for High-Quality Development of Scientific and Technological Innovation,,2020,journal article,Fanhua Zeng; Yangfen Wu; Wei-chiao Huang; Peng Luo,"In light of the new era, the main contradictions; between China’s economic and social operations still rest on the supply side,; and with structural characteristics. This article takes the primary; contradiction in the supply side of scientific and technological innovation as; the logical starting point of analysis. This supply side contradiction refers; to the insufficient effective supply of scientific and technological innovation; to meet the growing demand for scientific and technological innovation results.; We discuss “Ten Major Relations” that need to be addressed to reconcile such; contradictions in the supply side of scientific and technological innovation.; We then offer a reform path to solve the economic and societal structural; conflicts with high-quality science-tech supply.",Business; China; Contradiction; Supply side; Quality development; Economic system,,0
